username,display_name,id,messages
julien1972,julien,418849261761986561,4778
stellaachenbach,stellaachenbach,443420888243896320,2328
ccarfi,ccarfi,846084450697740289,1999
txbiii,txbi,636236348717793281,938
clemsos,Clément,191981201148346368,587
cecisakura,Ceci Sakura,780823380600291380,480
.valenh,Valentina | Ʉnlock,936426496690647100,429
svell,SVell,294870671358427137,334
andreugm,andreugm,393452669525688342,304
postarchitekt,PostArchitekt,369948954760314880,214
blahkheart,blahkheart,866613729922646016,166
pi0neerpat,pi0neerpat,381135787330109441,163
captainsouthpaw,CaptainSouthpaw,824426320070574140,161
henryhoffman_,HenryHoffman,600257102790918144,156
sohobiit,Soho,876993791968567397,119
jeevesdefi,JeevesDefi,1239314495118114919,85
sand_ramp,SandRamp,878644108812505088,80
willt5782,Will T Web3 Educator & Author,702165656623120395,72
graham529,Graham,932126246907822090,71
helveticrypt,HelvetiCrypt🚀,658263270825787444,61
deepsea514,Deep Sea,1108003026255482951,59
mash7.,mash7,703708765861576755,58
ichi_nik,ichi_nik,1255934715098304593,57
yonksteam,yonks.eth｜🚕⚡🏡｜Jason Younker,185932915803160577,54
utopian0054,Utopian EXO,1225788702241067009,49
borrowlucid,BorrowLucid,880971639163076608,48
wonderwomancode,Angela Steffens,403684446299095042,47
trin_d,Trin,456328457023127553,46
monkey.biz,Biz,881588080493072465,42
lanzdingz,lana,915946408564121630,42
em812x,em812x,1273380839832424520,40
cryptowitch.,CryptoWitch(Miniwax),1032785418548158534,40
tomatomicdev,TomAtomic,970121962141675571,40
nosense3611,null3,620353006281424906,39
_foroma,_foroma,874683298180386949,36
andrzej_t2,andrzej | t2,1082213984842813460,32
mexiweb3,mexi.⌐◨-◨,395141266372952064,32
prestonrhodes.,PrestonRhodes,1094319880460836974,31
easherg,Kirbo,1061529002591932527,28
ennriqe,ennriqe,394136321137836033,27
tokinskywalker,TokinSkywalker,648709041350115329,27
jonathanasticastillo,Jonathan Asti Castillo,674082433091633152,26
merylithh,,1070989027592904785,26
si_karahoward,Kara Howard | SI<3>,1128505062256291842,25
thecreative.eth,G2,779363634789744690,24
ayne_21,Ayne_21,924774504104874014,18
lumina.envision,LuminaEnvision,1081066476364111923,18
la7th,la7th,1188916984839143424,18
mariojpmachado,Mario Machado,493811724990808078,17
ssplash_,Paloma Etienne🌈🖖🏾OG DAO Ashé,925725947381026816,17
devin0031,Devin,760339348629094411,16
felixferdinand,Felix,949676393636200539,16
drewkickz,Drew,580481920316473469,15
rangoroad,Rango,909654482101608489,15
haseebrabbani,Haseeb | OpenZeppelin,711030587468677212,14
cimply,Cimply,954486108656377896,14
oceaniccharts,Agunoby Chisom Christian,865202100539883540,14
steven.sinatra,SINATRA,487052264133885963,14
manuelelias,ManuelElias,428975132699262997,14
jayem6217,JAYEM,388894996771897345,14
tadhgb87,,903395043858063370,13
bushidoaxuni,Bushido Axuni,514491864070488084,13
jrsec,,532596098771058699,11
.myrstad,myrstad,779143255530537001,11
ginoct,ginoct.eth,431893969367203880,10
miroblocks,Miro,889606393382993990,10
blurpes,[AWAR] Hecate,951881461793964132,10
mpons38,mpons38,926963480458842212,9
flashbang3479,Flashbang,527600001908604929,9
vzvz5628,Vince,984087198578130964,9
mavensblock,Mavens,920713184149667860,8
yawnforthepeople8884,yawnforthepeople,844673267385499658,8
forbes99,forbes,1036814817887014922,8
dumbfounder,dumbfounder | darkblock,814972631807033424,8
clpker,clpker,639181543167885312,8
butterbr,salazar,1091294612255166554,8
goose.glass,GoosΞ,682323129263063054,8
patryktt2.world,Patryk | t2.world,1088055890499870810,8
carter8145,catah,287351537049534464,8
jack.zhuo,Jack,923396133420671006,7
snowmanthejimmy,SnowmanTheJimmy,412493124330323969,7
laramie2907,Laramie,336311558114115584,7
sunshine01539,JAGABAN,847300972317114408,7
heimdall223,Heimdall223,883758195888255016,7
sandra_rtmgsvh93_64236_21806,Sandra_rtmgsvh93,1238308426233155614,7
gilbert787,gilbert787,703041855125979166,7
nkemjika,Nkemjika,651030071498375169,6
dicethedev,web3creed,872558823519432834,6
pxvvxn,c0ld,895669508239392799,6
web3grep,! web3grep,758899495323959327,6
elizabethcusma,Elizabeth Cusma,1038042863826641016,6
the.stj,STJ,784214011524153364,6
flossdaily3547,,834048928868728843,6
guicrypto,Gui,1146175299919290369,5
ivananishchuk,Ivan | freelance R&D,1232442725018763294,5
tw528,Tw528,1190410353784406076,5
ronrivers,ronrivers,771492737454440448,5
osiris3pad,,748029123955261553,5
8goldenboy8,8GoldenBoy8,422844343234199554,5
xfactor3617,,762357287137443850,5
unknownejiro,makonnen,1209187460270006304,5
cryptofans.nft,Crypto-Fans,889837919542583367,5
aquarioballena9768,aquarioballena,832380353409974273,5
brosofcrypto,,766642702892531714,5
uayarthe,kAMMO,1013555188793102391,4
jakehomanics,Jacob Homanics,361884279967449101,4
donny_jerri,Donny Jerri,949732631824699514,4
pikameow420,MeowMeow,572828214108618762,4
.hangyaku,hangyaku,443699374309113877,4
jeropcrypto,JeropCRYPTO,966824164700864574,4
mariaenevaolms,SmarterWomen,891951091204378656,4
jazzrap45,JazzRap,834565005935640646,4
oldgregg369,Old Gregg,536681643679678464,4
ctomaz,coi,1076372461605617694,3
dc4l__,OASIS 🌊,671178225879351327,3
omar291603,O R,361367253180088321,3
0xnestor,0xNestor,622457724239872011,3
fantazer.eth,fantazer,398213099544510466,3
jasonansley,Jason Ansley | Fractional COO,586004865084555284,3
seaofindigo,Tolu,969900669790191676,3
hfuthippop,hfuthippop,1042480573052096536,3
rene__hdz,René,926234592153841734,2
egg.ward,Luenaツ,1137133567781109972,2
scott612,Scott612,925415530985304194,2
hazardkrypto,hazardkrypto,889816035455283210,2
robo6.5,Robo6.5,530594736054992908,2
michal_61149,Michal | t2.world,1258418519524245618,2
z.a.n.7,Zan,688284817036410978,2
themvp07,TheMvp07,558361051863711755,2
mrunorthodox,Mrunorthodox,888242251690569819,2
eng.davidlumala,Eng. David Lumala,915927775909642240,2
kyrers,kyre,361536337247076362,2
obaone,Afo Wefa,367030885549080607,2
ironman9232,ironman,921419984863899669,2
oakleycosco,BorjCosco,584415725548994621,2
ricklyson,kody,832583718895747122,2
pedrokb,Criptopepe1,1014272346200215592,2
powerofleah,PowerOfLeah,883806349673234482,2
rom.eth,rom.eth,755114058264608918,2
dessertndaggers,🍦dessert'n'daggers🗡,1216477038521749596,1
charliekaru2492,Charlie Karu,1048966824223584327,1
anthoglg,AnthonyGLG,624794078835376139,1
grunkleknut,Grunkleknut,614588622385184788,1
wo24,Wo24,888236096792698930,1
nds30xx0716,NDS30XX,1006039823276048435,1
dragoondeer,aseem,246051884329074699,1
chiali,Chiali,786217377447804988,1
wordfangs.eth,wordfangs,1047481059933167648,1
mooseypops,Moosey,885515324483588188,1
k7v1n,kev 🆕 🛒,567037428616134656,1
ttactics,ttactics,729641872456286278,1
fowlbourneofwar,fowlbourneofwar,726750443702714398,1
_karlagod,KarlaGod🧬,391964721596596227,1
sum.studio,SumStudio,1152034868386078741,1
juanlysander,Pakju,346670256401547274,1
bok666,MickeyD,794363123020202054,1
kohx,koH,332777441414348801,1
abielb,AbielB,1078489031836454922,1
jloop8026,,985236609966420028,1
pumpkinhero1,Pumpkinman,256084544715751435,1
rustyblue100,rustyblue100,826132199735558144,0